0 4526751960.878748
1000 2374316699.658863
2000 1674181594.2215655
3000 1185074952.3217216
4000 835056085.0428234
5000 569265884.1289816
6000 304095702.02442944
7000 38847427.88935546
8000 38409042.49360326
9000 38099797.7387517
10000 37779649.093687855
11000 37459802.6907618
12000 37141968.5551095
13000 36826337.46475022
14000 36512920.14986942
15000 36201707.20609387
16000 35892687.02489848
17000 35585847.73649105
18000 35281177.41829128
19000 34978664.121367194
20000 34678295.87817936
21000 34380060.708248615
22000 34083946.623380356
23000 33789941.63261264
24000 33498033.746908236
25000 33208210.98360006
26000 32920461.370598998
27000 32634772.950371247
28000 32351133.783694103
29000 32069531.953198787
30000 31789955.56670651
31000 31512392.760367803
32000 31236831.701611392
33000 30963260.59191139
34000 30691667.669379003
35000 30422041.211186823
36000 30154369.53583346
37000 29888641.00525424
38000 29624844.02678519
39000 29362967.054986782
40000 29102998.593334716
41000 28844927.195782196
42000 28588741.46820154
43000 28334430.069708858
44000 28081981.713879216
45000 27831385.169856545
46000 27582629.263363596
47000 27335702.87761747
48000 27090594.954154696
49000 26847294.493570805
50000 26605790.556179103
51000 26366072.26259253
52000 26128128.794232506
53000 25891949.393768925
54000 25657523.36549509
55000 25424840.07564066
56000 25193888.95262741
57000 24964659.487268392
58000 24737141.232916344
59000 24511323.80556289
60000 24287196.883892
61000 24064750.2092896
62000 23843973.58581251
63000 23624856.88011974
64000 23407390.021366976
65000 23191563.00106767
66000 22977365.872922976
67000 22764788.752621688
68000 22553821.81761232
69000 22344455.306850508
70000 22136679.52052096
71000 21930484.819738217
72000 21725861.626225837
73000 21522800.42197673
74000 21321291.748895854
75000 21121326.20842537
76000 20922894.461155906
77000 20725987.22642313
78000 20530595.281891305
79000 20336709.463125106
80000 20144320.663151704
81000 19953419.832011662
82000 19763997.976301797
83000 19576046.158710252
84000 19389555.497544244
85000 19204517.166251127
86000 19020922.392934725
87000 18838762.459866002
88000 18658028.70298998
89000 18478712.511429455
90000 18300805.326984227
91000 18124298.64363006
92000 17949184.00701402
93000 17775453.013949353
94000 17603097.31190896
95000 17432108.59851864
96000 17262478.621050056
97000 17094199.175914656
98000 16927262.10815712
99000 16761659.31095083
100000 16597382.725094179
101000 16434424.33850886
102000 16272776.18573974
103000 16112430.34745732
104000 15953378.949962212
105000 15795614.16469255
106000 15639128.207734024
107000 15483913.339333791
108000 15329961.86341657
109000 15177266.12710473
110000 15025818.520242078
111000 14875611.474921167
112000 14726637.465014828
113000 14578889.005711254
114000 14432358.653053746
115000 14287039.003484052
116000 14142922.69339087
117000 14000002.398662016
118000 13858270.83424171
119000 13717720.753692456
120000 13578344.948760532
121000 13440136.248947844
122000 13303087.521087665
123000 13167191.668924777
124000 13032441.632701548
125000 12898830.388747828
126000 12766350.94907708
127000 12634996.360986285
128000 12504759.706661703
129000 12375634.102788828
130000 12247612.70016826
131000 12120688.68333582
132000 11994855.270189015
133000 11870105.711616619
134000 11746433.291134592
135000 11623831.324528115
136000 11502293.15949581
137000 11381812.175301908
138000 11262381.782431714
139000 11143995.422253042
140000 11026646.56668204
141000 10910328.717854474
142000 10795035.407802269
143000 10680760.198134277
144000 10567496.67972277
145000 10455238.472394403
146000 10343979.224626616
147000 10233712.613248406
148000 10124432.343146436
149000 10016132.146976264
150000 9908805.784877421
151000 9802447.04419471
152000 9697049.73920276
153000 9592607.71083713
154000 9489114.82642872
155000 9386564.979443751
156000 9284952.08922774
157000 9184270.100755425
158000 9084512.984383814
159000 8985674.735611107
160000 8887749.374839393
161000 8790730.947142301
162000 8694613.522037374
163000 8599391.193262571
164000 8505058.078557588
165000 8411608.319449194
166000 8319036.081041791
167000 8227335.551811448
168000 8136500.943405184
169000 8046526.490443661
170000 7957406.450329265
171000 7869135.103057817
172000 7781706.751034475
173000 7695115.718894236
174000 7609356.35332663
175000 7524423.022904129
176000 7440310.117915342
177000 7357012.050201947
178000 7274523.252999819
179000 7192838.180784151
180000 7111951.309118756
181000 7031857.134509353
182000 6952550.174260824
183000 6874024.966338386
184000 6796276.069232654
185000 6719298.061828807
186000 6643085.543279453
187000 6567633.132881599
188000 6492935.469956787
189000 6418987.213736154
190000 6345783.043248137
191000 6273317.65721056
192000 6201585.773926367
193000 6130582.131182989
194000 6060301.486155191
195000 5990738.615311863
196000 5921888.314326273
197000 5853745.397989958
198000 5786304.700130206
199000 5719561.073531049
200000 5653509.389857546
201000 5588144.539584007
202000 5523461.431925326
203000 5459454.99477182
204000 5396120.174627587
205000 5333451.93655202
206000 5271445.264105009
207000 5210095.159294977
208000 5149396.642530839
209000 5089344.752576629
210000 5029934.546509767
211000 4971161.099682281
212000 4913019.5056856
213000 4855504.87631791
214000 4798612.341555171
215000 4742337.049524939
216000 4686674.166483565
217000 4631618.876795745
218000 4577166.382918139
219000 4523311.9053847985
220000 4470050.682796553
221000 4417377.971812642
222000 4365289.047145435
223000 4313779.201558121
224000 4262843.74586512
225000 4212478.008935285
226000 4162677.337697605
227000 4113437.097150035
228000 4064752.67037079
229000 4016619.4585322775
230000 3969032.880917608
231000 3921988.374939718
232000 3875481.3961630985
233000 3829507.4183277544
234000 3784061.9333759528
235000 3739140.451481054
236000 3694738.5010788213
237000 3650851.6289011966
238000 3607475.4000122114
239000 3564605.397846106
240000 3522237.2242476847
241000 3480366.499514754
242000 3438988.8624428604
243000 3398099.9703718238
244000 3357695.4992343965
245000 3317771.143606808
246000 3278322.616761428
247000 3239345.6507209027
248000 3200835.9963144273
249000 3162789.423235537
250000 3125201.720101765
251000 3088068.69451576
252000 3051386.1731282277
